iter	MultiClass
0	1.169977962
1	1.025786269
2	0.9092259732
3	0.8166370858
4	0.7396667754
5	0.6768909663
6	0.6201960951
7	0.5750096808
8	0.5334865799
9	0.5000523046
10	0.4661624459
11	0.4363751092
12	0.4087306439
13	0.3831127173
14	0.3642550529
15	0.3482713637
16	0.3299765295
17	0.3157522978
18	0.3029738566
19	0.2895302718
20	0.2794403909
21	0.26920786
22	0.2571293571
23	0.248077106
24	0.2378776559
25	0.2281448964
26	0.2195695529
27	0.2114149409
28	0.2045949055
29	0.2001880756
30	0.1953872191
31	0.1896081652
32	0.1833838304
33	0.1784356213
34	0.1750247726
35	0.1706416227
36	0.16616675
37	0.1626543928
38	0.1591132587
39	0.1554353849
40	0.152648805
41	0.1491902075
42	0.1467276582
43	0.144480236
44	0.1423657587
45	0.1398565413
46	0.1385069134
47	0.1363273387
48	0.1343839418
49	0.1321128616
50	0.1299923289
51	0.1282535504
52	0.1266165227
53	0.1256743726
54	0.1238665765
55	0.1226018265
56	0.1213601178
57	0.1197043355
58	0.1185885913
59	0.1167980861
60	0.1156071807
61	0.114057064
62	0.1127521435
63	0.1105425864
64	0.1089099847
65	0.1080624414
66	0.1072460728
67	0.1056463843
68	0.1046374273
69	0.1035171923
70	0.1026166187
71	0.101641891
72	0.1006832231
73	0.09999162329
74	0.09890461439
75	0.09747172529
76	0.09683851218
77	0.09608704932
78	0.09520740744
79	0.09439758855
80	0.09360955678
81	0.09282547015
82	0.09231200798
83	0.0917603472
84	0.0910929329
85	0.09036037981
86	0.08970475869
87	0.08900831172
88	0.08835549831
89	0.08760802059
90	0.08722222702
91	0.08674879862
92	0.08597072679
93	0.08520914812
94	0.08477566305
95	0.08390913517
96	0.08306562814
97	0.08258651353
98	0.08180360529
99	0.08091853178
