iter	Passed	Remaining
0	180	17888
1	198	9720
2	212	6877
3	226	5438
4	244	4651
5	259	4062
6	275	3665
7	292	3365
8	310	3136
9	330	2976
10	349	2830
11	369	2708
12	389	2607
13	408	2507
14	432	2452
15	452	2376
16	470	2298
17	488	2223
18	504	2152
19	524	2096
20	542	2042
21	563	1999
22	584	1957
23	605	1917
24	627	1881
25	647	1841
26	667	1803
27	687	1768
28	706	1729
29	725	1692
30	744	1656
31	772	1641
32	792	1608
33	811	1575
34	828	1539
35	843	1498
36	862	1467
37	882	1439
38	902	1411
39	922	1384
40	946	1361
41	1002	1384
42	1034	1371
43	1074	1367
44	1098	1342
45	1117	1311
46	1135	1280
47	1154	1250
48	1174	1222
49	1192	1192
50	1208	1161
51	1224	1130
52	1245	1104
53	1264	1077
54	1289	1055
55	1309	1028
56	1331	1004
57	1355	981
58	1379	958
59	1407	938
60	1428	913
61	1448	887
62	1468	862
63	1492	839
64	1515	816
65	1537	791
66	1557	767
67	1579	743
68	1600	719
69	1619	693
70	1640	670
71	1659	645
72	1676	620
73	1697	596
74	1718	572
75	1736	548
76	1755	524
77	1774	500
78	1795	477
79	1815	453
80	1836	430
81	1857	407
82	1875	384
83	1890	360
84	1911	337
85	1932	314
86	1952	291
87	1972	269
88	1994	246
89	2018	224
90	2037	201
91	2057	178
92	2078	156
93	2095	133
94	2110	111
95	2128	88
96	2147	66
97	2164	44
98	2179	22
99	2196	0
